"ItemID","ItemTitle","TotalAttachments","AttachmentName","ServerRelativeUrl","CreatedBy"
"30","Edificio San Carlos","7","email AChahin 04_05_2017.msg","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/30/email AChahin 04_05_2017.msg","Tahsin Ashraful Haque"
"30","Edificio San Carlos","7","Honduras _UNDP Lease_Agreement_220517.pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/30/Honduras _UNDP Lease_Agreement_220517.pdf","Tahsin Ashraful Haque"
"30","Edificio San Carlos","7","SO Clearance.msg","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/30/SO Clearance.msg","Tahsin Ashraful Haque"
"30","Edificio San Carlos","7","UNDP_Standard_Lease_Agreement_HND 05.08.17.docx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/30/UNDP_Standard_Lease_Agreement_HND 05.08.17.docx","Tahsin Ashraful Haque"
"30","Edificio San Carlos","7","UNDP_Standard_Lease_Agreement_HND05.01.17rec.docx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/30/UNDP_Standard_Lease_Agreement_HND05.01.17rec.docx","Tahsin Ashraful Haque"
"30","Edificio San Carlos","7","UNDP_Standard_Lease_Agreement_HND05.10.17.docx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/30/UNDP_Standard_Lease_Agreement_HND05.10.17.docx","Tahsin Ashraful Haque"
"30","Edificio San Carlos","7","UNDP_Standard_Lease_Agreement_HND2017_18_4_ con cometnarioa alejando_rec 04.24.17.docx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/30/UNDP_Standard_Lease_Agreement_HND2017_18_4_ con cometnarioa alejando_rec 04.24.17.docx","Tahsin Ashraful Haque"
"31","Yonghe Mansion, No.28, East Andingmen Avenue, Dongcheng, Beijing","2","Lease Agreement CHN.docx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/31/Lease Agreement CHN.docx","Malini Ganapathy"
"31","Yonghe Mansion, No.28, East Andingmen Avenue, Dongcheng, Beijing","2","RE  CHN office.msg","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/31/RE  CHN office.msg","Malini Ganapathy"
"32","Former UN House surrender","7","20141118 Karunesh FINALMDVMissionReport.doc","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/32/20141118 Karunesh FINALMDVMissionReport.doc","Tahsin Ashraful Haque"
"32","Former UN House surrender","7","2017.08.24 - UN letter reg. un building surrender agreement.pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/32/2017.08.24 - UN letter reg. un building surrender agreement.pdf","Tahsin Ashraful Haque"
"32","Former UN House surrender","7","20170413 Letter to MFA_UN Building.docx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/32/20170413 Letter to MFA_UN Building.docx","Tahsin Ashraful Haque"
"32","Former UN House surrender","7","MALDIVES_OFFICES_LOAN_AGREEMENT.pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/32/MALDIVES_OFFICES_LOAN_AGREEMENT.pdf","Tahsin Ashraful Haque"
"32","Former UN House surrender","7","Standard Basic Agreement - 1978.pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/32/Standard Basic Agreement - 1978.pdf","Tahsin Ashraful Haque"
"32","Former UN House surrender","7","Surrender Agreement_UN Building in Maldives_11 April 2017_v3.docx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/32/Surrender Agreement_UN Building in Maldives_11 April 2017_v3.docx","Tahsin Ashraful Haque"
"32","Former UN House surrender","7","Surrender Agreement_UN Building Maldives_29 November 2017.pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/32/Surrender Agreement_UN Building Maldives_29 November 2017.pdf","Tahsin Ashraful Haque"
"38","Colombia-List of Premises","1","Colombia - List of Premise.xlsx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/38/Colombia - List of Premise.xlsx","Malini Ganapathy"
"39","GSSC office expansion","4","180417_UNDP_Design Proposal Presentation R4 Final.pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/39/180417_UNDP_Design Proposal Presentation R4 Final.pdf","Tahsin Ashraful Haque"
"39","GSSC office expansion","4","Agreement with GOM.pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/39/Agreement with GOM.pdf","Tahsin Ashraful Haque"
"39","GSSC office expansion","4","FW  Recommendations from Regional Security Office Mission to GSSC.msg","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/39/FW  Recommendations from Regional Security Office Mission to GSSC.msg","Tahsin Ashraful Haque"
"39","GSSC office expansion","4","SO Clearance.msg","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/39/SO Clearance.msg","Tahsin Ashraful Haque"
"40","Govt offered building","1","JAMAICA UNDP-UNOPS_Template_(CL-2Feb18)(ELC-4Feb18)(NB-5Feb18)(CL5Feb18).docx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/40/JAMAICA UNDP-UNOPS_Template_(CL-2Feb18)(ELC-4Feb18)(NB-5Feb18)(CL5Feb18).docx","Tahsin Ashraful Haque"
"41","Bancroft- International Campus Lease","15","Bancroft Jan-June 2017-s.pdf","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/41/Bancroft Jan-June 2017-s.pdf","Malini Ganapathy"
"41","Bancroft- International Campus Lease","15","Bancroft lease -1st Amendment Letter 2017.docx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/41/Bancroft lease -1st Amendment Letter 2017.docx","Malini Ganapathy"
"41","Bancroft- International Campus Lease","15","Bancroft lease -1st Amendment Letter 2017_170517.docx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/41/Bancroft lease -1st Amendment Letter 2017_170517.docx","Malini Ganapathy"
"41","Bancroft- International Campus Lease","15","Bancroft lease -1st Amendment Letter 2017_250417.docx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/41/Bancroft lease -1st Amendment Letter 2017_250417.docx","Malini Ganapathy"
"41","Bancroft- International Campus Lease","15","Bancroft lease -1st Amendment Letter 2017-05242017.docx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/41/Bancroft lease -1st Amendment Letter 2017-05242017.docx","Malini Ganapathy"
"41","Bancroft- International Campus Lease","15","Bancroft lease -1st Amendment Letter 2017-05252017.docx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/41/Bancroft lease -1st Amendment Letter 2017-05252017.docx","Malini Ganapathy"
"41","Bancroft- International Campus Lease","15","Bancroft lease -1st Amendment Letter 2017-250517_CO.docx","/sites/BMS-GenOps-Premises/Lists/Premises Case Management/Attachments/41/Bancroft lease -1st Amendment Letter 2017-250517_CO.docx","Malini Ganapathy"
